Year,Park,Site,Borough,Latitude,Longitude,SM_ID,Sex_01,Weight,ISCAP_Larva,DON_IS,DIN_Borrelia,DIN_Babesia,Borrelia_qPCR,Babesia_qPCR,Effort_qPCR,Connect_site_1000,Impervious_site,SM_abundance,MM_abundance
2023,Forest,Q-FT14,Queens,40.7028562,-73.850803,SM-053,1,24,0,0.125,0.0625,0,0,0,2,9.980720285,0.1421,3.89,15.56
2024,Forest,Q-FT14,Queens,40.7028565,-73.850803,SM-192,0,23,0,0.0625,0,0,0,0,1,9.980720285,0.1421,15.97,33.33
2023,Forest,Q-FT14,Queens,40.7028562,-73.850803,SM-061,0,19,0,0.125,0.0625,0,0,0,1,9.980720285,0.1421,3.89,15.56
2024,Forest,Q-FT14,Queens,40.7026308,-73.851509,SM-168,0,27,0,0.0625,0,0,0,0,2,9.980720285,0.1421,15.97,33.33
2023,Forest,Q-FT14,Queens,40.7034289,-73.850969,SM-058,0,17,0,0.125,0.0625,0,0,0,2,9.980720285,0.1421,3.89,15.56
2024,Forest,Q-FT14,Queens,40.7035661,-73.851702,SM-167,1,23,0,0.0625,0,0,0,0,2,9.980720285,0.1421,15.97,33.33
2024,Forest,Q-FT14,Queens,40.7034289,-73.850969,SM-172,1,30,0,0.0625,0,0,0,0,1,9.980720285,0.1421,15.97,33.33
2024,Forest,Q-FT14,Queens,40.7032591,-73.850759,SM-173,1,27,0,0.0625,0,0,0,0,1,9.980720285,0.1421,15.97,33.33
2023,Forest,Q-FT14,Queens,40.7035651,-73.851702,SM-063,0,30,0,0.125,0.0625,0,0,0,1,9.980720285,0.1421,3.89,15.56
2023,Forest,Q-FT14,Queens,40.7026305,-73.851507,SM-059,0,27,0,0.125,0.0625,0,0,0,2,9.980720285,0.1421,3.89,15.56
2023,Forest,Q-FT14,Queens,40.7035651,-73.851702,SM-064,0,24,0,0.125,0.0625,0,1,0,2,9.980720285,0.1421,3.89,15.56
2024,Forest,Q-FT14,Queens,40.7034289,-73.850969,SM-190,0,18,0,0.0625,0,0,0,0,2,9.980720285,0.1421,15.97,33.33
2024,Forest,Q-FT14,Queens,40.7028992,-73.850959,SM-191,1,21,0,0.0625,0,0,0,0,1,9.980720285,0.1421,15.97,33.33
2024,Forest,Q-FT14,Queens,40.7035661,-73.851702,SM-183,0,23,0,0.0625,0,0,0,0,1,9.980720285,0.1421,15.97,33.33
2024,Forest,Q-FT14,Queens,40.7026308,-73.851509,SM-184,1,27,0,0.0625,0,0,0,0,2,9.980720285,0.1421,15.97,33.33
2024,Forest,Q-FT14,Queens,40.7035661,-73.851702,SM-185,0,24,0,0.0625,0,0,0,0,1,9.980720285,0.1421,15.97,33.33
2024,Forest,Q-FT14,Queens,40.7026308,-73.851509,SM-186,0,26,0,0.0625,0,0,0,0,1,9.980720285,0.1421,15.97,33.33
2024,Forest,Q-FT14,Queens,40.7032591,-73.850759,SM-189,1,28,0,0.0625,0,0,0,0,2,9.980720285,0.1421,15.97,33.33
